id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai
169,Bùa Yêu Trong Vũng Ngò Ôm,Hoàn thành,Off Pongpat Wachirabunjong,45 phút/tập,Vietsub,2021,Thái Lan,"Tình Cảm, Hài Hước",HD
170,Bùa Yêu (Bản Thái),Hoàn thành,Koo Ekkasit Trakulkasemsuk,44 phút/tập,Lồng Tiếng,2020,Thái Lan,Tình Cảm,HD
171,Siêu Nhân Điện Quang Arc,Đang chiếu,Takanori Tsujimoto,30 phút/tập,VietSub,2024,Nhật Bản,"Hài Hước, Hành Động, Viễn Tưởng, Khoa Học",HD
172,Thiên Cơ Thập Nhị Cung,Hoàn thành,Trần Bằng,40phút/tập,Lồng Tiếng,2019,Trung Quốc,"Tình Cảm, Cổ Trang",HD
173,Jack And Joker: Người Đánh Cắp Trái Tim Tôi!,Đang chiếu,"Tee Sintanaparadee, Tee Bundit Sintanaparadee",60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Tâm Lý, Phiêu Lưu, Bí ẩn, Hình Sự",HD
176,Joker: Folie à Deux Điên Có Đôi,Hoàn thành,Todd Phillips,1 giờ 30phút,VietSub,2024,Âu Mỹ,"Hình Sự, Chính kịch",HD
177,Bí Mật Kẻ Sát Nhân Hoàng Đạo,Hoàn thành,Đang cập nhật,49 phút/tập,Vietsub,2024,Âu Mỹ,"Tài Liệu, Hình Sự",FHD
178,Cắt qua thời gian,Hoàn thành,Hannah Macpherson,91 Phút,Vietsub,2024,Âu Mỹ,"Viễn Tưởng, Khoa Học, Kinh Dị",HD
179,Ngôi Nhà Hạnh Phúc (Bản Việt Nam),Hoàn thành,Vũ Ngọc Đãng,45 phút/tập,Vietsub,2009,Việt Nam,"Gia Đình, Tâm Lý, Tình Cảm",FHD
180,Chú Chó Biết Tuốt,Hoàn thành,Kim Yoo Jin,70 phút/tập,Thuyết Minh,2024,Hàn Quốc,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý",HD
181,Tình Yêu Khờ Dại,Hoàn thành,Kim Min Seok,60 phút/tập,Vietsub,2019,Hàn Quốc,"Phim bộ, Tâm Lý, Tình Cảm",HD
182,Valentine Dối Trá,Hoàn thành,Koo Ekkasit Trakulkasemsuk,30 phút/tập,Thuyết Minh,2022,Thái Lan,"Phim bộ, Tâm Lý, Tình Cảm",HD
183,Kỷ Niệm Tan Vỡ,Hoàn thành,K Chainarong Tampong,30 phút/tập,Thuyết Minh,2022,Thái Lan,"Phim bộ, Tâm Lý, Tình Cảm",HD
184,Sinh Nhật Bất Hạnh,Hoàn thành,Tik Wasinee Khunanitisarn,30 phút/tập,Thuyết Minh,2021,Thái Lan,"Phim bộ, Tâm Lý, Tình Cảm",HD
185,Mong Đợi Cuối Cùng,Hoàn thành,Kathatep Thaivanit,30 phút/tập,Thuyết Minh,2022,Thái Lan,"Phim bộ, Tâm Lý, Tình Cảm",HD
186,Cái Kết Của Nhân Tình,Hoàn thành,Tik Wasinee Khunanitisarn,30 phút/tập,Thuyết Minh,2020,Thái Lan,"Phim bộ, Lãng Mạn, Tâm Lý, Tình Cảm",HD
187,Mẹ Kế (Thái Lan),Hoàn thành,Nui Suttasit Dechinthanarak,30 phút/tập,Thuyết Minh,2020,Thái Lan,"Phim bộ, Lãng Mạn, Tâm Lý, Tình Cảm",HD
188,Ngoại Tình,Hoàn thành,Louie Ignacio,96 Phút,Vietsub,2022,Philippines,Chính kịch,HD
189,Bí Mật Trên Ứng Dụng Hẹn Hò,Hoàn thành,Boonyathorn Kitiphattakon,45 phút/tập,Thuyết Minh,2024,Thái Lan,"Tình Cảm, Tâm Lý",HD
190,Yêu Em 3000 Lần,Đang chiếu,Zhou Ming Liang,14 phút/ tập,Vietsub,2024,Trung Quốc,"Chính kịch, Tình Cảm",FHD
191,Nhị Lang Thần: Thâm Hải Giao Long,Hoàn thành,Wang Jun,99 phút,Vietsub,2024,Trung Quốc,"Phiêu Lưu, Viễn Tưởng, Hoạt Hình",FHD
192,"Daeng: Hậu Duệ '"Tình Người Duyên Ma'"",Hoàn thành,"Chaleumpol Tikumpornteerawong, Watcharapong Pattama",110 Phút,Vietsub,2022,Thái Lan,"Hài Hước, Kinh Dị",HD
193,Chú Chó Robot,Hoàn thành,Oliver Daly,1h10phút/tập,Vietsub,2018,Âu Mỹ,"Viễn Tưởng, Khoa Học",HD
194,Nữ Luật Sư Lidia Poët Phần 2,Hoàn thành,Đang cập nhật,40 phút/tập,Vietsub,2024,Ý,"Chính kịch, Hình Sự",FHD
195,Người Tốt Hay Kẻ Xấu,Đang chiếu,Park Geon Ho,60 phút/ tập,Vietsub,2024,Hàn Quốc,"Hành Động, Tình Cảm, Chính kịch, Tâm Lý, Hình Sự",HD
196,Yong Soo Jung Dũng Cảm,Đang chiếu,"Lee Min Soo, Kim Mi Sook",30 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý",HD
197,Vì Yêu Dẫn Lối,Đang chiếu,New Siwaj Sawatmaneekul,52 phút/tập,Vietsub,2024,Thái Lan,Tâm Lý,HD
198,Tòa Thành Thời Gian,Hoàn thành,Chan Ka Lam,45 phút/tập,Vietsub,2023,Trung Quốc,"Chính kịch, Tình Cảm, Tâm Lý",FHD
199,Sự Trả Thù Của Nàng Bạch Tuyết,Đang chiếu,Choi Ji-Young,33 phút/tập,Vietsub,2024,Hàn Quốc,"Chính kịch, Gia Đình, Tình Cảm, Tâm Lý",FHD
200,Lễ Tốt Nghiệp Chúng Mình,Hoàn thành,Chu Lễ Hòa,49 phút/tập,Lồng Tiếng,2024,Trung Quốc,"Chính kịch, Tình Cảm, Tâm Lý",FHD
201,Cuộc Tình Chen Ngang,Hoàn thành,Jules Katanyag,103 phút,Vietsub,2022,Philippines,"Phim lẻ, Chính kịch, Lãng Mạn, Gây Cấn, Phim 18+",HD
202,Tình Thỏa Hiệp,Hoàn thành,Carby Salvador,67 phút,Vietsub,2024,Philippines,"Chính kịch, Phim 18+",FHD
203,Mỹ Nhân Thâm Kế,Hoàn thành,Henry King Quitain,46 phút,Vietsub,2024,Philippines,"Chính kịch, Phim 18+",FHD
204,Quý Ông Còn Zin,Hoàn thành,Anthony Chan Yau,85 phút,Vietsub,1984,Hồng Kông,"Phim lẻ, Phim Hài, Chính kịch, Lãng Mạn",HD
205,Nữ Hầu Phòng,Hoàn thành,Bobby Bonifacio,47 phút,Vietsub,2024,Philippines,"Phim lẻ, Chính kịch, Phim 18+",HD
206,Truy Tìm Quái Thú,Hoàn thành,Ryan Coonan,83 phút,Vietsub,2024,Úc,"Phim lẻ, Kinh Dị, Bí ẩn",HD
207,Dối Trá,Đang chiếu,Hakan İnan,120 phút/tập,VietSub,2024,Thổ Nhĩ Kỳ,"Gia Đình, Chính kịch",HD
208,Tắm Xác,Hoàn thành,Hadrah Daeng Ratu,107 phút,Vietsub,2024,Indonesia,"Kinh Dị, Chính kịch, Tâm Lý",FHD
209,Tận Thế Z: Khởi Nguồn Đại Dịch,Hoàn thành,Carles Torrens,117 phút,Vietsub,2024,Tây Ban Nha,"Hành Động, Viễn Tưởng, Kinh Dị",FHD
210,Nỗi Đau Ngủ Yên,Hoàn thành,Adam Cooper,112 phút,Vietsub,2024,Âu Mỹ,"Bí ẩn, Tâm Lý, Hình Sự, Chính kịch",FHD
211,Dịch Vụ Cướp Người Yêu,Đang chiếu,Honda Ryuichi,23 phút/tập,Vietsub,2024,Nhật Bản,"Phim bộ, Phim đang chiếu, Hành Động, Chính kịch, Kinh Dị, Bí ẩn",HD
212,Đồng Minh Bí Mật,Đang chiếu,Honda Ryuichi,23 phút/tập,Vietsub,2024,Nhật Bản,"Phim bộ, Phim đang chiếu, Chính kịch, Lãng Mạn, Tình Cảm",HD
213,Lời Nói Dối Của Em Cũng Dễ Nghe,Hoàn thành,Li Hui Zhu,45 phút/tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Gia Đình",HD
214,Vòng Lặp Chết Chóc,Đang chiếu,Nui Suttasit,50 phút/tập,Vietsub,2024,Thái Lan,"Phim bộ, Phim đang chiếu, Giả Tưởng, Bí ẩn, Tâm Lý",HD
215,Người Bán Hàng Cần Mẫn,Đang chiếu,Jo Woong,70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý, Gia Đình",HD
216,Ai Oán Trong Vườn Xuân,Hoàn thành,Ku Born,91 Phút,Vietsub,2024,Hàn Quốc,Kinh Dị,HD
217,Âm Dương Sư 0: Khởi Nguồn,Hoàn thành,Shimako Satō,112phút,Vietsub,2024,Nhật Bản,"Bí ẩn, Cổ Trang",HD
218,Thẩm Phán Từ Địa Ngục,Hoàn thành,Park Jin Pyo,60 phút/tập,Vietsub,2024,Hàn Quốc,"Tâm Lý, Tình Cảm, Chính kịch, Phiêu Lưu, Bí ẩn, Viễn Tưởng",HD
219,3 Câu Chuyện Tình,Hoàn thành,"Roman Perez Jr., Omar Deroca, Sigrid Polon",119 phút,Vietsub,2024,Philippines,"Chính kịch, Phim 18+",FHD
220,Mảnh Tình Sát Vách,Hoàn thành,Mac Alejandre,107 phút,Vietsub,2023,Philippines,"Chính kịch, Phim 18+",FHD
221,Tình Mơ,Hoàn thành,Jon Red,86 phút,Vietsub,2024,Philippines,"Chính kịch, Tình Cảm, Phim 18+",FHD
222,Trí Tuệ Kép,Hoàn thành,Puri Jagannadh,162 phút,Vietsub,2024,Ấn Độ,"Hành Động, Khoa Học, Viễn Tưởng, Tâm Lý",FHD
223,Lưỡi Dao Chiến Tranh,Hoàn thành,Nicholas Winter,94 phút,Vietsub,2024,Anh,"Chiến Tranh, Tâm Lý",FHD
224,Thế Giới Ảo Ma,Hoàn thành,Adam Stern,92 phút,Vietsub,2024,Canada,"Hành Động, Khoa Học, Viễn Tưởng, Tâm Lý",FHD
225,Gia Đạo Trung Nhị,Đang chiếu,Đang cập nhật,7 phút/tập,Vietsub,2024,Trung Quốc,"Hài Hước, Hoạt Hình",FHD
226,Đố Anh Còng Được Tôi,Sắp chiếu,Ryoo Seung Wan,118 phút,VietSub,2024,Hàn Quốc,"Hài Hước, Chính kịch, Phiêu Lưu, Hành Động",HD
227,Hai Tay Súng Huyền Thoại,Hoàn thành,Justin Lee,91 Phút,Vietsub,2022,Âu Mỹ,Hành Động,HD
228,Ngạo Tửu Giang Hồ,Hoàn thành,Lý Đạt Siêu,45 phút/tập,Thuyết Minh,2006,Trung Quốc,"Hành Động, Tình Cảm, Võ Thuật",HD
229,Mật Ngọt Cấm Kỵ,Đang chiếu,Nuchy Anucha Boonyawatana,60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD
230,Men Say Tình Yêu,Đang chiếu,Park Seon Ho,70 phút /tập,VietSub,2024,Hàn Quốc,"Hài Hước, Chính kịch, Tâm Lý, Gia Đình",HD
231,Vẫn Mãi Là Em,Hoàn thành,Dream Thanika,85 phút/tập,Lồng Tiếng,2021,Thái Lan,"Hài Hước, Tình Cảm, Tâm Lý",FHD
232,Đôi Hai,Hoàn thành,Shashanka Chaturvedi,127 Phút,Vietsub,2024,Ấn Độ,"Hình Sự, Chính kịch, Bí ẩn",HD
233,Sơ Nhan,Đang chiếu,九木,9 phút/tập,Vietsub,2024,Trung Quốc,"Chính kịch, Cổ Trang",HD
234,Hạnh Phúc Bị Đánh Cắp,Đang chiếu,Nhâm Minh Hiền,60 phút/tập,Vietsub,2024,Việt Nam,"Tình Cảm, Tâm Lý",FHD
235,Thoát Khỏi Xiềng Xích,Hoàn thành,Nikkhil Advani,151 phút,Vietsub,2024,Ấn Độ,"Hành Động, Chính kịch, Tâm Lý",FHD
236,Bầy Rùa Vô Tận,Hoàn thành,Hannah Marks,109 phút,Vietsub,2024,Âu Mỹ,"Chính kịch, Tình Cảm",FHD
237,Linh Hồn Vũ Nữ 2: Nghi Thức Hồi Sinh,Hoàn thành,Kimo Stamboel,122 phút 46 giây,VietSub,2024,Indonesia,"Kinh Dị, Tâm Lý, Phiêu Lưu, Bí ẩn",HD
238,Đặc Vụ Vô Hình,Hoàn thành,Anthony Russo,105 Phút,Vietsub,2022,Âu Mỹ,"Hành Động, Phiêu Lưu",HD
239,The Gray Man: Đặc vụ vô hình,Hoàn thành,"Anthony Russo, Joe Russo",2g 9phút,Vietsub,2022,Âu Mỹ,"Hành Động, Phiêu Lưu",HD
240,Đặc Vụ Vô Hình,Hoàn thành,Yi Huang,97 phút,Vietsub,2024,Trung Quốc,"Chính kịch, Hình Sự, Gây Cấn",FHD
241,Chọn Làm Người Một Nhà,Đang chiếu,Kim Seung Ho,70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý, Gia Đình",HD
242,Hẹn Gặp Giáng Sinh Sau,Hoàn thành,Rusty Cundieff,105 Phút,Vietsub,2024,Âu Mỹ,"Hài Hước, Tình Cảm, Phim lẻ, Lãng Mạn",HD
243,Người Tình Yêu Dấu Của Tôi,Đang chiếu,Aew Ampaiporn Jitmaingong,60 Phút / Tập,Vietsub,2024,Thái Lan,Tình Cảm,HD
244,Tín Hiệu Cầu Cứu,Hoàn thành,Zoë Kravitz,103 Phút,Vietsub,2024,Âu Mỹ,"Bí ẩn, Phiêu Lưu, Hành Động, Phim lẻ, Gây Cấn",HD
246,Nữ Hoàng Ayodhaya,Đang chiếu,Sant Srikaewlaw,60 Phút/ Tập,VietSub,2024,Thái Lan,"Kinh Dị, Phiêu Lưu, Hành Động, Bí ẩn",HD
247,Mật Mã Đỏ,Sắp chiếu,Jake Kasdan,124 Phút,Vietsub,2024,Âu Mỹ,"Hành Động, Hài Hước, Phiêu Lưu, Phim Hài, Phim lẻ",HD
248,Bí Mật Trang Trại Nho,Hoàn thành,Brande Roderick,100 phút,Vietsub,2023,Âu Mỹ,"Phim lẻ, Kinh Dị, Gây Cấn, Phiêu Lưu",HD
249,Đối Mặt,Đang chiếu,Ahn Sang Hoon,70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Hình Sự, Khoa Học, Phim bộ",HD
250,Xuyên Không Cải Mệnh Gia Tộc,Hoàn thành,Jaturong Mokjok,120 phút,Vietsub,2024,Thái Lan,"Hài Hước, Gia Đình, Hành Động",HD
251,Dòng Chảy Thời Gian,Hoàn thành,Rodrigo Prieto,131 phút,Vietsub,2024,Mexico,"Chính kịch, Bí ẩn, Tâm Lý, Viễn Tưởng",FHD
252,10 ngày của một người tò mò,Hoàn thành,Uluç Bayraktar,110 phút,Vietsub,2024,Thổ Nhĩ Kỳ,"Hình Sự, Chính kịch, Phim lẻ",FHD
253,Hẹn Hò Với Ông Già Tuyết,Hoàn thành,Jose Sierra,98 Phút,Vietsub,2023,Mexico,"Hài Hước, Chính kịch, Phim lẻ",HD
363,Hung Bạo,Hoàn thành,Larry Clark,113 Phút,Vietsub,2001,Âu Mỹ,"Chính kịch, Hình Sự",HD
254,Tấn Văn Công Truyền Kỳ (Giấc Mộng Quyền Lực),Hoàn thành,Tiêu Hiển Huy,45 Phút/Tập,Lồng Tiếng,1989,Hồng Kông,"Phim bộ, Lịch Sử, Cổ Trang",HD
255,Lửa Tình Tựa Băng Giá,Đang chiếu,Intanon Ratanakarn,45 phút/tập,Vietsub,2024,Thái Lan,"Chính kịch, Tình Cảm, Phim bộ, Lãng Mạn",HD
256,Sweetpea,Đang chiếu,Ella Jones,42 phút/ tập,VietSub,2024,Anh,"Hài Hước, Chính kịch, Hành Động, Bí ẩn",HD
257,Bác Sĩ Thiên Tài (Bản Thái),Đang chiếu,Off Monthon Arayangkoon,70 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý, Khoa Học",HD
258,Bắt Cóc,Đang chiếu,Noom Attaporn Teemarkorn,60 phút/tập,VietSub,2024,Thái Lan,"Phiêu Lưu, Hành Động, Bí ẩn",HD
259,Yêu Là Phải Thử,Hoàn thành,Oh Kritsada Techanilobon,43 Phút/Tập,Vietsub,2024,Thái Lan,"Phim bộ, Phim đang chiếu, Tâm Lý, Tình Cảm",HD
260,Đảo Hải Tặc: Phần Về Biển Đông,Hoàn thành,Takashi Otsuka,106 phút,Vietsub,2017,Nhật Bản,"Phim lẻ, Hành Động, Phiêu Lưu, Hoạt Hình",HD
261,Đảo Hải Tặc 13: GOLD,Hoàn thành,Hiroaki Miyamoto,120 phút,Vietsub,2016,Nhật Bản,"Hành Động, Hoạt Hình, Phiêu Lưu, Hài Hước",HD
262,Đảo Hải Tặc 14: Lễ Hội Hải Tặc,Hoàn thành,Takashi Otsuka,101 Phút,Vietsub,2019,Nhật Bản,"Hành Động, Phiêu Lưu, Gia Đình, Hoạt Hình",HD
263,Đồng Phạm,Hoàn thành,Guo Dong Xi,1H35M7S,Vietsub,2013,Hàn Quốc,"Hình Sự, Kinh Dị, Gia Đình",HD
264,Hỏa Long Đối Quyết,Hoàn thành,"Dante Lam, Lam Chiu Yin",1H41M43S,Vietsub,2010,Trung Quốc,"Hành Động, Tâm Lý",HD
265,Hắc Bạch Quyết,Đang chiếu,Jack Zhao,45 phút/tập,VietSub,2024,Trung Quốc,"Chính kịch, Hành Động, Bí ẩn, Hình Sự",HD
266,Ông Plankton Phần 1,Hoàn thành,Hong Jong Chan,70 phút/ tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Phim bộ, Lãng Mạn",HD
267,Thất Tiếu,Đang chiếu,Xa Lượng Dật,45 phút/tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phim bộ, Phim đang chiếu, Lãng Mạn",HD
268,Kẻ Phản Bội Thân Mật,Đang chiếu,Song Yeon Hwa,70 phút/ tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Bí ẩn, Hình Sự",HD
269,Vijay 69,Hoàn thành,Akshay Roy,112 Phút,Vietsub,2024,Ấn Độ,"Hài Hước, Chính kịch",HD
270,Linh Mục Nhiệt Huyết 2,Đang chiếu,Park Bo Ram,35 phút/tập,Vietsub,2024,Hàn Quốc,"Hài Hước, Hình Sự, Chính kịch, Phim bộ, Phim đang chiếu, Gây Cấn",HD
271,Góc Khuất Gangnam (Bên lề Gangnam),Đang chiếu,Park Noo Ri,60 phút/ tập,Vietsub,2024,Hàn Quốc,"Hành Động, Tâm Lý, Chính kịch, Phiêu Lưu, Hình Sự, Gây Cấn",HD
273,Trầm Hương Như Mộng,Đang chiếu,姜炫亦,13 phút/tập,Vietsub,2024,Trung Quốc,"Chính kịch, Cổ Trang, Tình Cảm, Phim bộ, Lãng Mạn",FHD
274,Cô Gái Sống Trong Cơ Thể Tôi,Đang chiếu,Ma Ding,19 phút/tập,Vietsub,2024,Trung Quốc,"Chính kịch, Tình Cảm, Hài Hước, Cổ Trang",HD
275,Rèm Ngọc Châu Sa,Đang chiếu,Tạ Trạch,40 phút/tập,Vietsub,2024,Trung Quốc,Cổ Trang,HD
276,Mộng Nam Kha,Đang chiếu,Liu Hao Nan,12 phút/tập,Vietsub,2024,Trung Quốc,"Phim bộ, Phim đang chiếu, Giả Tưởng, Cổ Trang, Tình Cảm, Chính kịch, Lãng Mạn",HD
277,Canh Bạc Ái Tình,Hoàn thành,Meaw Pawanrat Naksuriya,55 phút/ tập,Vietsub,2024,Thái Lan,"Tình Cảm, Tâm Lý",HD
279,Thời Niên Thiếu Của Bao Thanh Thiên 1,Hoàn thành,Hồ Minh Khải,45 Phút/Tập,Lồng Tiếng,2000,Trung Quốc,"Phim bộ, Hình Sự, Chính kịch, Cổ Trang",HD
280,Trò Chơi Đuổi Bắt W: Nàng Sếp Cậy Quyền Bắt Nạt Đấy Là Người Yêu Cũ Của Tôi,Hoàn thành,Ota Yu,45 Phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD
281,Ngược Dòng Thời Gian Để Yêu Anh,Hoàn thành,Đang cập nhật,45 phút/tập,VietSub,2018,Thái Lan,"Tình Cảm, Tâm Lý",HD
282,Họ Nhân Bản Tyrone,Hoàn thành,Juel Taylor,122 phút,Vietsub,2023,Âu Mỹ,"Hài Hước, Bí ẩn, Viễn Tưởng",HD
283,Cung Tỏa Tâm Ngọc,Hoàn thành,Jiang Guangtao,45 phút/tập,VietSub,2011,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Cổ Trang",HD
284,Run and Kill,Hoàn thành,Billy Tang,1h 31m,Vietsub,1993,Hồng Kông,Hành Động,HD
285,Thiên Thần Hủy Diệt 1,Hoàn thành,Wai Lit,92 phút,Vietsub,1992,Hồng Kông,Hành Động,HD
286,Người Hầu,Hoàn thành,Dae-Woo Kim,124 phút,Vietsub,2010,Hàn Quốc,"Tình Cảm, Chính kịch",HD
287,IC 814: Không Tặc Kandahar,Hoàn thành,Anubhav Sinha,40 phút/tập,Vietsub,2024,Ấn Độ,Chính kịch,HD
288,Kẻ Hủy Diệt Zero,Hoàn thành,Masashi Kudô,25 phút/tập,Vietsub,2024,Nhật Bản,"Phiêu Lưu, Hành Động, Viễn Tưởng, Hoạt Hình",HD
289,Tinh Hoa Muay,Hoàn thành,Robert Grasmere,101 phút,Vietsub,2024,Âu Mỹ,Hành Động,HD
290,Gấu Brigsby,Hoàn thành,Dave McCary,97 phút,Vietsub,2017,Âu Mỹ,"Hài Hước, Chính kịch",HD
291,Cô Hầu Phòng ở Manhattan,Hoàn thành,Wayne Wang,105 phút,Vietsub,2002,Âu Mỹ,"Hài Hước, Chính kịch",HD
292,Bố Là Gấu Bắc Cực,Hoàn thành,Maya Forbes,87 phút,Vietsub,2014,Âu Mỹ,"Hài Hước, Chính kịch",HD
293,Anh Em Nhà Solomon,Hoàn thành,Bob Odenkirk,93 phút,Vietsub,2007,Âu Mỹ,Hài Hước,HD
294,Câu Lạc Bộ Vợ Cả,Hoàn thành,Hugh Wilson,102 phút,Vietsub,1996,Âu Mỹ,Hài Hước,HD
295,Khởi Nguyên Kỳ Diệu,Hoàn thành,Stella Meghie,96 phút,Vietsub,2017,Âu Mỹ,Chính kịch,HD
296,Tốc Độ,Hoàn thành,Jan de Bont,116 phút,Vietsub,1994,Âu Mỹ,Hành Động,HD
297,Tình Nhân Bên Hồ,Hoàn thành,Michael Mayer,98 phút,Vietsub,2018,Âu Mỹ,"Hài Hước, Chính kịch",HD
298,Trận chiến đồi 400,Hoàn thành,Christopher Ray,87 phút,Vietsub,2023,Âu Mỹ,"Hành Động, Chiến Tranh",HD
300,Khu Vườn Huyền Bí,Hoàn thành,Marc Munden,99 phút,Vietsub,2020,Pháp,"Chính kịch, Gia Đình",HD
301,Alice Trăng Rằm,Hoàn thành,Zhang Linzi,103 phút,Vietsub,2020,Trung Quốc,"Tình Cảm, Hài Hước",HD
302,Chuyện Tình Của Mary,Hoàn thành,"Peter Farrelly, Bobby Farrelly",119 Phút,Vietsub,1997,Âu Mỹ,"Tình Cảm, Hài Hước",HD
303,Rất Muốn Đến Thế Giới Của Em Để Yêu Em,Hoàn thành,Tôn Lâm,94 phút,Vietsub,2022,Trung Quốc,"Tình Cảm, Chính kịch",HD
304,Nơi Chở Che Cho Con,Hoàn thành,Ron Krauss,101 phút,Vietsub,2013,Âu Mỹ,"Chính kịch, Tâm Lý",HD
305,Mỗi Ngày Một Thân Xác,Hoàn thành,Michael Sucsy,97 phút,Vietsub,2018,Âu Mỹ,Tình Cảm,HD
306,Cô Vợ Hờ,Hoàn thành,Dennis Dugan,117 phút,Vietsub,2011,Âu Mỹ,"Tình Cảm, Hài Hước",HD
307,Quyền Lực Ngầm,Hoàn thành,James Gray,118 phút,Vietsub,2007,Âu Mỹ,"Chính kịch, Hình Sự",HD
308,Ác Quỷ Đối Đầu,Hoàn thành,Won-Chan Hong,1H43M49S,Vietsub,2020,Hàn Quốc,"Hành Động, Bí ẩn",HD
309,Địch Nhân Kiệt: Khế Ước Minh Thần,Hoàn thành,Bàng Ánh Hóa,76 phút,Vietsub,2022,Trung Quốc,"Chính kịch, Bí ẩn",HD
310,Cứu Rỗi Linh Hồn,Hoàn thành,Lee Daniels,112 Phút,Vietsub,2024,Âu Mỹ,Kinh Dị,HD
311,Lời Tiên Tri Lượng Tử Q18,Đang chiếu,Zero Chou,47 phút/tập,Vietsub,2024,Đài Loan,"Viễn Tưởng, Khoa Học, Bí ẩn",HD
312,Vĩnh Dạ Trường Minh,Hoàn thành,Wu Cheng Feng,45 phút/tập,VietSub,2024,Trung Quốc,"Tình Cảm, Tâm Lý, Phiêu Lưu, Cổ Trang, Võ Thuật",HD
313,SunsetxVibes: Rung Cảm Hoàng Hôn,Hoàn thành,Puwadon Naosopa,45 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD
314,Tinh Hà Xán Lạn,Hoàn thành,Phí Chấn Tường,45 phút/tập,Vietsub,2022,Trung Quốc,"Tình Cảm, Cổ Trang",HD
315,Thần Thoại 2,Hoàn thành,Mã Sở Thành,129Phút,Vietsub,2024,Trung Quốc,"Hành Động, Phiêu Lưu, Chính kịch",HD
316,Trần Thiên Thiên Trong Lời Đồn,Hoàn thành,Tra Truyền Nghị,45 phút/tập,Vietsub,2020,Trung Quốc,"Hài Hước, Cổ Trang, Viễn Tưởng",HD
317,Giọng Nói Lừa Đảo,Hoàn thành,Kim Gok,1 giờ 30phút,Vietsub,2021,Hàn Quốc,"Hành Động, Bí ẩn, Hình Sự",HD
318,Mộ Sông,Hoàn thành,1,1H59M22S,Vietsub,2021,Hàn Quốc,Hành Động,HD
319,Đẹp Trai Thấy Sai Sai,Hoàn thành,Nam Dong Hyeop,101phút,Lồng Tiếng,2024,Hàn Quốc,"Hài Hước, Kinh Dị, Tâm Lý, Bí ẩn",HD
320,Ngọn Lửa,Hoàn thành,Karim Aïnouz,120 phút,Vietsub,2024,Âu Mỹ,Chính kịch,HD
322,SUGA: Road to D-DAY,Hoàn thành,Park Jun-soo,81 phút,Vietsub,2023,Hàn Quốc,Âm Nhạc,HD
323,Biệt Đội Thuốc Lá,Hoàn thành,Quentin Dupieux,80 phút,Vietsub,2022,Pháp,Hài Hước,HD
324,Nữ Sinh Cuồng Yêu,Hoàn thành,Stasya Tolstaya,96 phút,Vietsub,2024,Nga,Phim 18+,HD
325,Cha Dượng,Hoàn thành,Nelson McCormick,101 phút,Vietsub,2009,Âu Mỹ,Kinh Dị,HD
326,Nữ Tặc Nhà Giàu,Hoàn thành,Fred Wolf,97 phút,Vietsub,2008,Âu Mỹ,Hài Hước,HD
327,Sự Khác Biệt,Hoàn thành,Cindy Chupack,100 phút,Vietsub,2019,Âu Mỹ,Hài Hước,HD
329,Ninja Rùa 2: Đập Tan Bóng Tối,Hoàn thành,Dave Green,1 giờ 30phút,Vietsub,2016,Âu Mỹ,"Hành Động, Phiêu Lưu",HD
330,Trùng Khởi Chi Cực Hải Thính Lôi,Hoàn thành,ANZI PAN,45 Phút/Tập,Vietsub,2020,Trung Quốc,"Phiêu Lưu, Bí ẩn, Viễn Tưởng",HD
331,Giáng Sinh Vùng Quê,Hoàn thành,Maclain Nelson,84 phút,Vietsub,2018,Trung Quốc,"Tình Cảm, Chính kịch",HD
332,Gai Tình,Đang chiếu,Xi Zi,15 phút/tập,Vietsub,2024,Trung Quốc,"Hành Động, Cổ Trang, Tình Cảm",HD
333,Doraemon: Nobita Và Bản Giao Hưởng Địa Cầu,Hoàn thành,Kazuaki Imai,1 giờ 30 phút,VietSub,2024,Nhật Bản,"Viễn Tưởng, Phiêu Lưu, Khoa Học",HD
