id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai
34,Đế Chế Thanh Lịch,Hoàn thành,Park Gi Ho,30 phút/tập,VietSub,2023,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Gia Đình, Bí ẩn",HD
35,Bé Ma Của Anh,Hoàn thành,Komgrit Triwimol,1 giờ 30phút,VietSub,2024,Thái Lan,"Tình Cảm, Hài Hước, Kinh Dị, Phiêu Lưu, Bí ẩn",HD
37,Beetlejuice Beetlejuice: Ma Siêu Quậy,Hoàn thành,Tim Burton,105 Phút,Vietsub,2024,Âu Mỹ,"Hài Hước, Kinh Dị",HD
38,Anh Ấy Xâm Chiếm Thế Giới Của Tôi,Hoàn thành,Kungfu Nitivat Cholvanichsiri,45 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Tâm Lý",HD
39,Xóa Tan Ký Ức,Hoàn thành,"Kim Na Young, Yoon Ji Hoon",70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Hài Hước",HD
40,Giải Mã Tình Yêu Anh Bằng Trái Tim Em,Hoàn thành,"Naruebet Kuno, Tossaphon Riantong",70 phút/tập,Vietsub,2020,Thái Lan,Chính kịch,HD
41,Con Trai Bạn Mẹ (Chuyện Tình Nhà Bên),Hoàn thành,Yoo Je Won,70 phút/ tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Gia Đình",HD
42,Người Tình DNA,Hoàn thành,Sung Chi Wook,60 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý",HD
43,Học Kỳ Sinh Tử,Đang chiếu,Sung Yong Il,60 phút/tập,Vietsub,2023,Hàn Quốc,"Hành Động, Viễn Tưởng",HD
44,Học Kỳ Sinh Tử Phần 2,Hoàn thành,Sung Yong Il,45 phút/tập,VietSub,2023,Hàn Quốc,"Phiêu Lưu, Gia Đình, Hành Động, Học Đường, Viễn Tưởng, Khoa Học",HD
45,Phố Trấn Hồn: Nhiệt Huyết Sục Sôi,Đang chiếu,Zhong Qing,45 Phút/Tập,Vietsub,2024,Trung Quốc,"Phiêu Lưu, Hành Động, Cổ Trang",HD
46,Đêm Tối Và Bình Minh,Hoàn thành,"Li Cai, Nan Huang",45 phút/tập,Vietsub,2024,Trung Quốc,"Chính kịch, Bí ẩn, Tâm Lý",HD
47,Thư Từ Biệt,Đang chiếu,Deniz Çelebi Dikilitaş,120 phút/tập,Vietsub,2023,Thổ Nhĩ Kỳ,"Gia Đình, Chính kịch",HD
48,Mạc Phong Ngâm,Hoàn thành,Hà Giai Nam,45 phút/tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Cổ Trang, Võ Thuật",HD
49,"Nửa Thân Quen, Nửa Xa Lạ",Đang chiếu,Zhang Xiao Bo,45 Phút/Tập,Vietsub,2024,Trung Quốc,Tình Cảm,HD
50,Găng Tơ Tái Xuất,Hoàn thành,Kim Min Ho,116 phút,VietSub,2018,Hàn Quốc,"Tâm Lý, Phiêu Lưu, Hành Động, Hình Sự",HD
51,Bướm Đêm,Hoàn thành,Anggy Umbara,30 phút/tập,VietSub,2022,Indonesia,"Tình Cảm, Tâm Lý, Phim 18+",HD
52,Thử Thách Thần Tượng,Đang chiếu,"Kim Ju Hyung, Jo Hyo Jin",90 phút/tập,Vietsub,2010,Hàn Quốc,"Hài Hước, Phiêu Lưu, TV Shows",HD
53,Tình Sử Jang Ok Jung,Hoàn thành,Boo Sung-Chul,65 phút/tập,VietSub,2013,Hàn Quốc,Chính kịch,HD
54,Y Quán Tiểu Truyện (Phần 1),Hoàn thành,Đinh Ngưỡng Quốc,45 Phút/Tập,Lồng Tiếng,2015,Trung Quốc,"Phim bộ, Phim Hài, Cổ Trang",HD
55,"Chiến Tranh, Loạn Lạc",Hoàn thành,김상만,126 Phút,Vietsub,2024,Hàn Quốc,"Hành Động, Chính kịch",HD
56,Kỹ Sư Tình Yêu,Hoàn thành,"Niink Karnpicha Sinlertpattana, Ko Nantalit Tampacha",40 Phút/Tập,Vietsub,2020,Thái Lan,"Phim bộ, Tâm Lý, Tình Cảm",HD
57,Chàng Trai Ngoại Cảm,Hoàn thành,Jin Bing Zhu,1H3S,Vietsub,2019,Hàn Quốc,"Tình Cảm, Tâm Lý",HD
58,Su Ji Và U Ri,Hoàn thành,Park Ki-hyun,30 phút/tập,Vietsub,2024,Hàn Quốc,"Gia Đình, Chính kịch, Tình Cảm, Tâm Lý",HD
59,Vũ Điệu Chiến Thắng,Hoàn thành,Park Beom-su,120 phút,Vietsub,2024,Hàn Quốc,"Hài Hước, Chính kịch",FHD
60,Bí Mật Bị Vùi Lấp Phần 1,Hoàn thành,"Josh Pate, Jonas Pate, Shannon Burke",50 phút / tập,Vietsub,2020,Âu Mỹ,"Hành Động, Phiêu Lưu",HD
61,Hội Nghị Chết Chóc,Hoàn thành,Patrik Eklund,1g 40phút,VietSub,2023,Thụy Điển,Kinh Dị,HD
62,Affair: Mánh Khóe Tình Yêu,Hoàn thành,Pantip Wiboonthum,60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Tâm Lý, Học Đường",HD
65,Thanh Diện Tu La,Hoàn thành,Daniel Lee,1 giờ 58 phút,Vietsub,2022,Trung Quốc,"Cổ Trang, Võ Thuật",HD
66,Vệ Sĩ,Hoàn thành,Qin Peng Fei,1 Tiếng 2 Phút/tập,VietSub,2024,Trung Quốc,"Phiêu Lưu, Hành Động, Bí ẩn, Hình Sự",HD
67,Đảo Ngược Thời Gian Vì Em,Hoàn thành,Oat Vatanyu Ingkavivat,45 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD
68,BLUE LOCK THE MOVIE -EPISODE NAGI-,Hoàn thành,石川俊介,91 Phút,Vietsub,2024,Nhật Bản,"Chính kịch, Hành Động",HD
69,Ma Sói,Hoàn thành,François Uzan,95 Phút,Vietsub,2024,Pháp,"Hành Động, Hài Hước, Phiêu Lưu",HD
70,Truyện Kinh Dị Mỹ Phần 11,Hoàn thành,"Brad Falchuk, Ryan Murphy",45 phút/tập,Vietsub,2022,Âu Mỹ,"Tâm Lý, Viễn Tưởng, Kinh Dị",HD
71,Thiên Sứ Tội Lỗi (Đóa Hồng Tội Lỗi),Hoàn thành,Koo Ekkasit Trakulkasemsuk,45 phút/ tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD
72,Phong Thủy,Hoàn thành,Park Hee-Kon,126 phút,Thuyết Minh,2018,Hàn Quốc,"Cổ Trang, Tâm Lý, Bí ẩn",HD
73,Bậc Thầy Phong Thủy,Hoàn thành,Park Hee Kon,126 Phút,Thuyết Minh,2018,Hàn Quốc,"Cổ Trang, Tâm Lý",HD
74,Tại Sao Boss Muốn Cưới Tôi 2,Hoàn thành,Qiang Wu,43 Phút/Tập,Vietsub,2020,Trung Quốc,Tình Cảm,HD
76,Bạo Chúa Caligula,Hoàn thành,Tinto Brass,156 Phút,Vietsub,1979,Âu Mỹ,"Tình Cảm, Chính kịch",HD
77,Liều Mạng,Hoàn thành,Marc Ma,115 phút,Vietsub,2024,Trung Quốc,"Hành Động, Hình Sự",FHD
78,21 Khoảnh Khắc,Hoàn thành,Néstor Ruiz Medina,97 phút,Vietsub,2023,Tây Ban Nha,Chính kịch,FHD
79,Quái Vật Không Gian: Romulus,Hoàn thành,Fede Álvarez,119 Phút,Vietsub,2024,Âu Mỹ,"Viễn Tưởng, Khoa Học, Kinh Dị",HD
80,Vô Gian Nhất Chiến,Hoàn thành,Mak Ho-Pong,86 phút,Vietsub,2023,Trung Quốc,"Hình Sự, Hành Động",FHD
81,Thảm Họa Núi Lửa Katla,Hoàn thành,"Baltasar Kormákur, Sigurjón Kjartansson",43 phút/tập,Vietsub,2021,Iceland,"Chính kịch, Bí ẩn, Khoa Học, Viễn Tưởng",FHD
82,Em Không Ngốc 3,Hoàn thành,Jack Neo,132 phút,Vietsub,2024,Singapore,"Chính kịch, Hài Hước, Gia Đình",FHD
83,Vân Tịch Truyện,Hoàn thành,Lưu Trấn Minh,45 phút,Vietsub,2018,Trung Quốc,"Tình Cảm, Cổ Trang, Tâm Lý",HD
85,Gundam: Khúc cầu hồn thù hận,Hoàn thành,Đang cập nhật,24 phút/tập,Vietsub,2024,Nhật Bản,"Khoa Học, Viễn Tưởng, Hoạt Hình",FHD
86,Nghe Thấy Giọng Nói Của Em,Hoàn thành,Hermione,33 phút/tập,Vietsub,2022,Trung Quốc,Hành Động,HD
87,Bài Học Tình Yêu Thứ 9,Hoàn thành,Wang Li Wen,55 phút/tập,Vietsub,2022,Đài Loan,"Tâm Lý, Gia Đình, Học Đường",FHD
88,Thủ Lĩnh Sho Huyền Thoại,Hoàn thành,"Ueda Hisashi, Sumida Takashi",50 phút/tập,Vietsub,2024,Nhật Bản,"Phim bộ, Hành Động, Phim Hài",HD
89,Tam Sinh Vô Thương,Đang chiếu,Wen Hong Yi,20 phút/tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Cổ Trang",HD
90,Hẹn Hò Với Sát Nhân,Hoàn thành,Anna Kendrick,1 Tiếng 2 Phút/tập,VietSub,2024,Âu Mỹ,"Tình Cảm, Chính kịch, Kinh Dị, Tâm Lý",FHD
91,Cú Máy Ăn Tiền,Hoàn thành,김지운,135 phút,Vietsub,2023,Hàn Quốc,"Hài Hước, Chính kịch, Lịch Sử",FHD
92,Người Đàn Ông Yêu UFO,Hoàn thành,Diego Lerman,107 Phút,Vietsub,2024,Argentina,"Hài Hước, Chính kịch",HD
93,The Life and Movies of Erşan Kuneri Phần 2,Hoàn thành,Cem Yılmaz,50 phút/tập,Vietsub,2024,Thổ Nhĩ Kỳ,Hài Hước,HD
94,Chim Bói Cá,Đang chiếu,Gülseren Budaıcıoğlu,2h30p/tập,Vietsub,2022,Thổ Nhĩ Kỳ,"Tình Cảm, Tâm Lý",HD
95,Nhà Của Bé Sư Tử,Đang chiếu,Toshio Tsuboi,45 phút/tập,Vietsub,2024,Nhật Bản,"Gia Đình, Chính kịch, Bí ẩn",HD
96,Đoàn Tàu Cõi Âm,Hoàn thành,Rizal Mantovani,102 phút,VietSub,2024,Indonesia,"Kinh Dị, Tâm Lý, Bí ẩn",HD
97,Sát Thủ Lưu Vong,Hoàn thành,Đỗ Kỳ Phong,1h 48 phút,Thuyết Minh,2006,Trung Quốc,"Hành Động, Phiêu Lưu",HD
98,After Ever Happy: Hạnh phúc mãi về sau,Hoàn thành,Castille Landon,1g 35phút,Vietsub,2022,Âu Mỹ,Chính kịch,HD
99,Mật Mã Lệch Lạc,Hoàn thành,"Jojo Tichakorn Phukhaotong, Ninew Pinya Chookamsri",50 phút/tập,VietSub,2022,Thái Lan,"Tình Cảm, Hài Hước, Chính kịch, Học Đường",FHD
100,Lời Hồi Đáp 1988-LEE HYE RI,Hoàn thành,Shen Yuan Hao,90 phút/tập,Thuyết Minh,2015,Hàn Quốc,"Tình Cảm, Tâm Lý",HD
101,Dự Án Hồ Muối,Hoàn thành,Lu Lei,90 phút,Vietsub,2024,Trung Quốc,"Phim lẻ, Phiêu Lưu, Phim Hài, Hình Sự",HD
102,Thất Dạ Tuyết,Hoàn thành,"Ren Haitao, Liang Sheng Quan",45 phút/ tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Hành Động, Cổ Trang",HD
103,Thêm Một Lần Nữa,Hoàn thành,hwang kyung sung,30 phút/ tập,VietSub,2022,Hàn Quốc,Tình Cảm,HD
104,Lửa Và Nước,Hoàn thành,Sion Sono,129Phút,Vietsub,2011,Nhật Bản,"Hình Sự, Chính kịch",HD
105,Bộ Tứ Siêu Đẳng: Sứ Giả Bạc,Hoàn thành,Tim Story,92 Phút,Vietsub,2007,Âu Mỹ,"Hành Động, Hình Sự, Phiêu Lưu, Bí ẩn",HD
107,Đô Thị Cổ Tiên Y,Đang chiếu,Đang cập nhật,9 phút/tập,Vietsub,2024,Trung Quốc,"Hành Động, Phiêu Lưu, Viễn Tưởng, Hoạt Hình",FHD
108,Vincenzo,Hoàn thành,Kim Hee-Won,60 phút/tập,VietSub,2021,Hàn Quốc,"Hành Động, Hình Sự, Phiêu Lưu",HD
109,Câu Chuyện Sau Chia Tay,Hoàn thành,Moon Hyun Sung,60 phút/ tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý",HD
110,Bản Án Từ Địa Ngục Phần 2,Hoàn thành,Choi Gyu Seok,52 phút/ tập,VietSub,2024,Hàn Quốc,"Hình Sự, Viễn Tưởng, Khoa Học, Chính kịch",HD
111,Ký Ức Độc Quyền,Hoàn thành,Liu Chang,47M48S,VietSub,2019,Trung Quốc,Tình Cảm,HD
112,Trò Chơi Đuổi Bắt W2,Hoàn thành,Tomoya Sugioka,23 phút/tập,Vietsub,2024,Nhật Bản,"Tình Cảm, Chính kịch, Tâm Lý",HD
