id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai,luotxem,rating,vote
41,Con Trai Bạn Mẹ (Chuyện Tình Nhà Bên),Hoàn thành,Yoo Je Won,70 phút/ tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Gia Đình",HD,74781.0,8.0,1.0
42,Người Tình DNA,Hoàn thành,Sung Chi Wook,60 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý",HD,4255.0,8.0,1.0
43,Học Kỳ Sinh Tử,Đang chiếu,Sung Yong Il,60 phút/tập,Vietsub,2023,Hàn Quốc,"Hành Động, Viễn Tưởng",HD,34294.0,10.0,1.0
44,Học Kỳ Sinh Tử Phần 2,Hoàn thành,Sung Yong Il,45 phút/tập,VietSub,2023,Hàn Quốc,"Phiêu Lưu, Gia Đình, Hành Động, Học Đường, Viễn Tưởng, Khoa Học",HD,33356.0,9.5,2.0
45,Phố Trấn Hồn: Nhiệt Huyết Sục Sôi,Đang chiếu,Zhong Qing,45 Phút/Tập,Vietsub,2024,Trung Quốc,"Phiêu Lưu, Hành Động, Cổ Trang",HD,6066.0,8.0,1.0
46,Đêm Tối Và Bình Minh,Hoàn thành,"Li Cai, Nan Huang",45 phút/tập,Vietsub,2024,Trung Quốc,"Chính kịch, Bí ẩn, Tâm Lý",HD,4590.0,8.0,1.0
47,Thư Từ Biệt,Đang chiếu,Deniz Çelebi Dikilitaş,120 phút/tập,Vietsub,2023,Thổ Nhĩ Kỳ,"Gia Đình, Chính kịch",HD,1904.0,8.0,1.0
48,Mạc Phong Ngâm,Hoàn thành,Hà Giai Nam,45 phút/tập,VietSub,2024,Trung Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Cổ Trang, Võ Thuật",HD,10203.0,8.0,1.0
49,"Nửa Thân Quen, Nửa Xa Lạ",Đang chiếu,Zhang Xiao Bo,45 Phút/Tập,Vietsub,2024,Trung Quốc,Tình Cảm,HD,3723.0,8.0,1.0
50,Găng Tơ Tái Xuất,Hoàn thành,Kim Min Ho,116 phút,VietSub,2018,Hàn Quốc,"Tâm Lý, Phiêu Lưu, Hành Động, Hình Sự",HD,2568.0,8.0,1.0
51,Bướm Đêm,Hoàn thành,Anggy Umbara,30 phút/tập,VietSub,2022,Indonesia,"Tình Cảm, Tâm Lý, Phim 18+",HD,12074.0,8.0,1.0
52,Thử Thách Thần Tượng,Đang chiếu,"Kim Ju Hyung, Jo Hyo Jin",90 phút/tập,Vietsub,2010,Hàn Quốc,"Hài Hước, Phiêu Lưu, TV Shows",HD,191636.0,3.0,2.0
53,Tình Sử Jang Ok Jung,Hoàn thành,Boo Sung-Chul,65 phút/tập,VietSub,2013,Hàn Quốc,Chính kịch,HD,61545.0,9.0,1.0
54,Y Quán Tiểu Truyện (Phần 1),Hoàn thành,Đinh Ngưỡng Quốc,45 Phút/Tập,Lồng Tiếng,2015,Trung Quốc,"Phim bộ, Phim Hài, Cổ Trang",HD,592.0,8.0,1.0
55,"Chiến Tranh, Loạn Lạc",Hoàn thành,김상만,126 Phút,Vietsub,2024,Hàn Quốc,"Hành Động, Chính kịch",HD,361.0,8.0,1.0
56,Kỹ Sư Tình Yêu,Hoàn thành,"Niink Karnpicha Sinlertpattana, Ko Nantalit Tampacha",40 Phút/Tập,Vietsub,2020,Thái Lan,"Phim bộ, Tâm Lý, Tình Cảm",HD,629.0,8.0,1.0
58,Su Ji Và U Ri,Hoàn thành,Park Ki-hyun,30 phút/tập,Vietsub,2024,Hàn Quốc,"Gia Đình, Chính kịch, Tình Cảm, Tâm Lý",HD,2759.0,8.0,1.0
59,Vũ Điệu Chiến Thắng,Hoàn thành,Park Beom-su,120 phút,Vietsub,2024,Hàn Quốc,"Hài Hước, Chính kịch",FHD,251.0,8.0,1.0
60,Bí Mật Bị Vùi Lấp Phần 1,Hoàn thành,"Josh Pate, Jonas Pate, Shannon Burke",50 phút / tập,Vietsub,2020,Âu Mỹ,"Hành Động, Phiêu Lưu",HD,8067.0,8.0,1.0
62,Affair: Mánh Khóe Tình Yêu,Hoàn thành,Pantip Wiboonthum,60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Tâm Lý, Học Đường",HD,7251.0,8.0,1.0
67,Đảo Ngược Thời Gian Vì Em,Hoàn thành,Oat Vatanyu Ingkavivat,45 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD,2881.0,8.0,1.0
68,BLUE LOCK THE MOVIE -EPISODE NAGI-,Hoàn thành,石川俊介,91 Phút,Vietsub,2024,Nhật Bản,"Chính kịch, Hành Động",HD,471.0,8.0,1.0
69,Ma Sói,Hoàn thành,François Uzan,95 Phút,Vietsub,2024,Pháp,"Hành Động, Hài Hước, Phiêu Lưu",HD,284.0,8.0,1.0
70,Truyện Kinh Dị Mỹ Phần 11,Hoàn thành,"Brad Falchuk, Ryan Murphy",45 phút/tập,Vietsub,2022,Âu Mỹ,"Tâm Lý, Viễn Tưởng, Kinh Dị",HD,6280.0,8.0,1.0
71,Thiên Sứ Tội Lỗi (Đóa Hồng Tội Lỗi),Hoàn thành,Koo Ekkasit Trakulkasemsuk,45 phút/ tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD,24613.0,8.0,1.0
72,Phong Thủy,Hoàn thành,Park Hee-Kon,126 phút,Thuyết Minh,2018,Hàn Quốc,"Cổ Trang, Tâm Lý, Bí ẩn",HD,2490.0,8.0,1.0
73,Bậc Thầy Phong Thủy,Hoàn thành,Park Hee Kon,126 Phút,Thuyết Minh,2018,Hàn Quốc,"Cổ Trang, Tâm Lý",HD,2676.0,8.0,1.0
74,Tại Sao Boss Muốn Cưới Tôi 2,Hoàn thành,Qiang Wu,43 Phút/Tập,Vietsub,2020,Trung Quốc,Tình Cảm,HD,9920.0,10.0,1.0
76,Bạo Chúa Caligula,Hoàn thành,Tinto Brass,156 Phút,Vietsub,1979,Âu Mỹ,"Tình Cảm, Chính kịch",HD,211.0,8.0,1.0
77,Liều Mạng,Hoàn thành,Marc Ma,115 phút,Vietsub,2024,Trung Quốc,"Hành Động, Hình Sự",FHD,411.0,8.0,1.0
78,21 Khoảnh Khắc,Hoàn thành,Néstor Ruiz Medina,97 phút,Vietsub,2023,Tây Ban Nha,Chính kịch,FHD,324.0,8.0,1.0
79,Quái Vật Không Gian: Romulus,Hoàn thành,Fede Álvarez,119 Phút,Vietsub,2024,Âu Mỹ,"Viễn Tưởng, Khoa Học, Kinh Dị",HD,663.0,8.0,1.0
