id_phim,luotxem,rating,vote
527,536,8,1
529,488,8,1
530,412,8,1
531,1362,8,1
532,8425,8,1
533,4905,8,1
534,369,8,1
535,400,8,1
536,470,8,1
537,376,8,1
538,902,8,1
539,7658,8,1
540,344,8,1
541,467,8,1
542,17359,8,1
543,46667,9,1
544,4473,8,1
545,603,8,1
546,186,8,1
547,525,8,1
549,489,8,1
550,7818,8,1
551,303,8,1
552,295,8,1
553,1239,8,1
554,876,8,1
555,2841,8,1
556,603,8,1
557,9125,9,1
558,30520,8,1
559,2757,8,1
560,235,8,1
561,419,8,1
562,35346,8,1
563,23546,8,1
564,2895,8,1
565,6256,8,1
566,612,8,1
567,921,8,1
569,542,8,1
570,802,8,1
571,5436,8,1
572,3233,10,1
573,2747,8,1
574,3471,8,1
575,318,8,1
576,564,8,1
577,349,8,1
578,1746,8,1
579,7633,8,1
580,7030,8,1
581,1549,8,1
582,229,8,1
583,26848,10,1
584,651,8,1
585,829,8,1
586,695,8,1
587,19029,9,1
588,369,8,1
589,211,8,1
590,306,8,1
591,242,8,1
592,1461,8,1
593,1450,8,1
594,465,8,1
595,211,8,1
596,255,8,1
597,6134,8,1
599,225,8,1
600,256,8,1
604,385,8,1
605,9931,8,1
606,71240,8,1
607,33146,8,1
608,38976,10,2
609,2256,8,1
610,537,8,1
611,313,8,1
612,320,8,1
613,947,8,1
614,390,8,1
615,408,8,1
616,377,8,1
617,10165,8,1
618,899,8,1
619,428,8,1
620,3852,8,1
621,1770,8,1
623,301,8,1
624,408,8,1
626,444,8,1
628,801,8,1
629,777,8,1
630,505,8,1
631,1434,8,1
632,4844,8,1
634,517,8,1
635,423,8,1
636,568,8,1
637,27847,8,1
638,6790,8,1
639,916,8,1
640,676,8,1
642,205315,9.7,3
643,2491,8,1
644,624,8,1
646,570,8,1
648,4026,8,1
649,1127,8,1
651,12137,9,1
652,1011,8,1
653,1192,8,1
654,1123,8,1
656,760,8,1
657,744,8,1
658,512,8,1
659,490,8,1
660,511,8,1
